"date","value","volume"
"2007-11-14","40","100"
"2009-05-08","45","50"
"2009-11-03","50","104"
"2009-11-04","57","6"
"2009-11-05","65","7"
"2009-11-06","74","8"
"2009-11-17","85","9"
"2009-11-18","97","10"
"2009-11-27","111","11"
"2009-12-01","127","12"
"2009-12-10","146","13"
"2009-12-23","167","24"
"2010-05-06","192","18222"
"2010-05-07","200","722"
"2010-05-10","200","50"
"2010-06-15","200","298"
"2010-06-25","200","680"
"2010-08-16","180","1"
"2010-08-20","207","1337"
"2010-09-03","180","5"
"2010-09-07","200","155"
"2010-09-08","200","260"
"2010-10-29","171","225"
"2010-12-20","150","310"
"2012-04-26","341","2"
"2012-05-09","392","5"
"2012-05-09","392","5"
"2012-06-08","450","2"
"2013-02-28","517.5","2"
"2015-12-09","500","420"
"2016-07-19","500","162"
"2017-12-15","576.15","53"
"2017-12-18","662.57","10220"
"2017-12-19","761.95","43"
"2017-12-20","876.24","100"
"2017-12-21","1007","200"
"2017-12-22","1158","1500"
"2017-12-25","1331","1"
"2017-12-26","1530","1000"
"2017-12-27","1759","17617"
"2017-12-28","1858","24960"
"2018-01-02","1751","7155"
"2018-01-03","1660","3602"
"2018-01-04","1585","7800"
"2018-01-05","1597","1685"
"2018-01-08","1490","2741"
"2018-01-09","1537","13611"
"2018-01-10","1636","2605"
"2018-01-12","1656","2982"
"2018-01-15","1665","2745"
"2018-01-16","1658","1760"
"2018-01-17","1552","8927"
"2018-01-18","1534","4487"
"2018-01-19","1704","5764"
"2018-01-22","1681","5310"
"2018-01-23","1738","6460"
"2018-01-24","1727","231"
"2018-01-25","1617","1050"
"2018-01-29","1658","1077"
"2018-01-30","1594","5000"
"2018-01-31","1690","10"
"2018-02-01","1567","1000"
"2018-02-05","1655","1424"
"2018-02-06","1551","2113"
"2018-02-07","1501","709"
"2018-02-08","1435","2012"
"2018-02-09","1410","4560"
"2018-02-13","1420","4820"
"2018-02-14","1430","2932"
"2018-02-15","1430","520"
"2018-02-20","1404","4507"
"2018-02-21","1400","1200"
"2018-02-23","1400","1348"
"2018-02-26","1419","3809"
"2018-02-27","1330","3000"
"2018-02-28","1400","2017"
"2018-03-01","1335","735"
"2018-03-02","1352","800"
"2018-03-05","1414","1378"
"2018-03-06","1391","260"
"2018-03-07","1450","353"
"2018-03-09","1450","18"
"2018-03-13","1400","35"
"2018-03-14","1469","1699"
"2018-03-15","1447","6500"
"2018-03-16","1461","7000"
"2018-03-19","1579","5900"
"2018-03-20","1756","8550"
"2018-03-21","1946","7495"
"2018-03-22","1790","1780"
"2018-03-23","1850","615"
"2018-03-26","1747","11945"
"2018-03-27","1746","1077"
"2018-03-28","1720","1751"
"2018-03-29","1710","600"
"2018-03-30","1709","5176"
"2018-04-02","1710","1120"
"2018-04-03","1700","3560"
"2018-04-04","1700","100"
"2018-04-05","1610","5900"
"2018-04-06","1580","2891"
"2018-04-09","1725","3857"
"2018-04-10","1700","499"
"2018-04-11","1700","637"
"2018-04-12","1767","4157"
"2018-04-13","1785","12"
"2018-04-16","1800","2180"
"2018-04-17","1801","5194"
"2018-04-18","1831","9858"
"2018-04-19","1619","26035"
"2018-04-20","1596","9474"
"2018-04-23","1598","15180"
"2018-04-24","1523","15109"
"2018-04-25","1531","70211"
"2018-04-26","1505","54733"
"2018-04-27","1600","6609"
"2018-04-30","1700","38477"
"2018-05-01","1690","1469"
"2018-05-02","1616","10359"
"2018-05-03","1590","6175"
"2018-05-04","1598","3066"
"2018-05-07","1511","3636"
"2018-05-08","1560","1703"
"2018-05-09","1580","1002"
"2018-05-10","1530","6919"
"2018-05-11","1549","4575"
"2018-05-14","1580","1578"
"2018-05-15","1521","1100"
"2018-05-16","1551","200"
"2018-05-17","1590","60"
"2018-05-18","1489","6943"
"2018-05-21","1497","1460"
"2018-05-22","1500","7800"
"2018-05-23","1530","590"
"2018-05-24","1493","2309"
"2018-05-25","1490","2457"
"2018-05-28","1490","25"
"2018-05-29","1486","1298"
"2018-05-30","1492","4424"
"2018-05-31","1500","9464"
"2018-06-04","1497","3237"
"2018-06-05","1500","1174"
"2018-06-07","1500","7707"
"2018-06-08","1460","2326"
"2018-06-11","1500","43"
"2018-06-12","1465","77"
"2018-06-14","1500","1000"
"2018-06-15","1470","205"
"2018-06-18","1470","2434"
"2018-06-19","1470","1630"
"2018-06-20","1490","2928"
"2018-06-21","1500","746"
"2018-06-22","1455","1521"
"2018-06-25","1435","1104"
"2018-06-27","1411","2101"
"2018-06-28","1428","150"
"2018-06-29","1490","964"
"2018-07-02","1490","4"
"2018-07-03","1490","2369"
"2018-07-04","1490","1100"
"2018-07-05","1494","13000"
"2018-07-06","1490","3732"
"2018-07-09","1422","600"
"2018-07-16","1440","1100"
"2018-07-17","1490","7916"
"2018-07-20","1490","235"
"2018-07-24","1460","7593"
"2018-07-25","1423","3000"
"2018-07-26","1546","6389"
"2018-07-27","1430","3"
"2018-07-31","1544","102"
"2018-08-02","1422","1800"
"2018-08-03","1500","53"
"2018-08-06","1515","1659"
"2018-08-07","1617","1650"
"2018-08-09","1600","5090"
"2018-08-10","1618","2"
"2018-08-14","1600","300"
"2018-08-16","1599","110"
"2018-08-17","1460","1"
"2018-08-20","1460","509"
"2018-08-21","1500","82"
"2018-08-22","1501","66"
"2018-08-24","1505","520"
"2018-08-27","1500","993"
"2018-08-28","1575","4340"
"2018-08-29","1633","4"
"2018-08-31","1470","250"
"2018-09-03","1470","100"
"2018-09-05","1597","3773"
"2018-09-10","1552","919"
"2018-09-11","1609","16062"
"2018-09-12","1609","1614"
"2018-09-13","1610","600"
"2018-09-14","1613","9888"
"2018-09-17","1678","1515"
"2018-09-18","1600","245"
"2018-09-19","1601","271"
"2018-09-20","1623","880"
"2018-09-21","1615","100"
"2018-09-24","1627","3358"
"2018-09-25","1620","120"
"2018-09-26","1600","600"
"2018-09-27","1533","739"
"2018-09-28","1670","5716"
"2018-10-01","1822","16993"
"2018-10-02","1799","17"
"2018-10-03","1650","1000"
"2018-10-04","1789","3862"
"2018-10-05","1824","831"
"2018-10-08","1797","2238"
"2018-10-09","1800","17"
"2018-10-10","1700","8052"
"2018-10-11","1653","17"
"2018-10-12","1650","1000"
"2018-10-15","1602","2001"
"2018-10-16","1653","5234"
"2018-10-18","1721","1305"
"2018-10-19","1724","1"
"2018-10-24","1617","846"
"2018-10-25","1630","1830"
"2018-10-29","1611","356"
"2018-11-01","1601","1005"
"2018-11-02","1600","995"
"2018-11-05","1600","1000"
"2018-11-06","1680","400"
"2018-11-07","1585","20"
"2018-11-13","1422","3000"
"2018-11-14","1440","3858"
"2018-11-15","1380","1410"
"2018-11-16","1385","3300"
"2018-11-19","1450","1000"
"2018-11-20","1450","800"
"2018-11-21","1334","5152"
"2018-11-27","1530","3997"
"2018-11-28","1607","8942"
"2018-11-29","1669","6519"
"2018-11-30","1783","26428"
"2018-12-03","1796","9072"
"2018-12-03","1796","9072"
