"date","value","volume"
"2007-01-30","130","5000"
"2007-01-31","136","5000"
"2007-02-06","150","1000"
"2007-05-15","200","10220"
"2007-06-12","215","5000"
"2007-07-08","500","4000"
"2007-07-25","1000","1000"
"2007-08-09","1500","9600"
"2007-08-10","1500","7000"
"2007-08-13","1500","4268"
"2007-08-17","1700","760"
"2007-08-28","2000","1950"
"2007-08-30","2101","20"
"2007-09-04","2150","1000"
"2007-09-12","2450","4587"
"2007-09-13","2430","8400"
"2007-09-19","2430","5850"
"2007-09-25","2430","880"
"2007-09-27","2800","3"
"2007-09-28","2900","1000"
"2007-10-02","2800","500"
"2007-10-05","2700","46474"
"2007-10-12","3000","200"
"2007-10-19","3000","3400"
"2007-10-25","3000","3320"
"2007-11-01","3000","7114"
"2007-11-13","3000","3755"
"2007-11-23","3000","1350"
"2007-12-11","3400","2930"
"2008-01-22","3500","1000"
"2008-02-21","4000","26000"
"2008-03-06","3990","2602"
"2008-03-11","3500","900"
"2008-03-12","3500","50"
"2008-03-13","3500","558"
"2008-03-14","4000","10"
"2008-03-18","3700","100"
"2008-03-21","3700","1"
"2008-03-24","3700","110"
"2008-04-03","3700","12"
"2008-04-04","3700","188"
"2008-04-08","3700","500"
"2008-04-14","3700","412"
"2008-04-22","3700","20"
"2008-04-25","3699","31"
"2008-05-07","3600","790"
"2008-05-16","3588","10"
"2008-05-19","3500","20"
"2008-05-20","3500","377"
"2008-05-21","3500","100"
"2008-05-22","3500","93"
"2008-06-03","3500","210"
"2008-06-11","3300","1000"
"2008-06-30","3000","519"
"2008-07-01","3000","1131"
"2008-07-02","3000","2067"
"2008-07-03","3000","1257"
"2008-07-04","3000","109"
"2008-07-07","3000","14967"
"2008-07-08","3000","693514"
"2008-07-09","3000","24595"
"2008-07-10","3000","1513"
"2008-07-14","3000","5"
"2008-07-15","3000","91847"
"2008-07-16","3000","3754"
"2008-07-17","3000","62"
"2008-07-18","3000","130"
"2008-07-22","3000","140"
"2008-07-23","3000","1000"
"2008-07-25","3000","117"
"2008-07-28","3000","2043"
"2008-07-29","3000","1400"
"2008-07-30","3000","4571"
"2008-07-31","3000","4300"
"2008-08-01","3000","3348"
"2008-08-04","3000","290"
"2008-08-05","2999","390"
"2008-08-06","2999","1170"
"2008-08-11","2700","10"
"2008-08-12","2700","1490"
"2008-08-13","2700","101"
"2008-08-14","2700","10"
"2008-08-15","2600","93"
"2008-08-25","2600","520"
"2008-09-02","2930","1"
"2009-02-11","2295","50"
"2009-02-18","2200","300"
"2009-02-19","2099","4800"
"2009-03-13","2000","10"
"2009-04-21","1950","1402"
"2009-07-15","1800","100"
"2009-07-28","1730","2000"
"2009-08-03","1730","1000"
"2009-08-06","1900","3658"
"2009-08-07","1900","10092"
"2009-08-10","1900","274"
"2009-08-17","1900","1000"
"2009-08-19","1900","3384"
"2009-08-20","1900","1299"
"2009-09-18","1950","82"
"2009-09-21","1850","447"
"2009-09-29","1800","9241"
"2009-10-08","1900","300"
"2009-10-09","1950","19252"
"2009-10-12","1900","308"
"2009-10-13","1900","67905"
"2009-10-16","1900","5200"
"2009-10-28","1800","73"
"2009-11-02","1800","8430"
"2009-11-04","1799","2020"
"2009-11-06","1799","2100"
"2009-11-09","1800","19"
"2009-11-10","1800","20"
"2009-11-24","1798","10"
"2009-11-25","1798","10"
"2009-12-03","1798","10"
"2009-12-08","1700","10"
"2009-12-25","1700","2"
"2009-12-29","1600","10"
"2009-12-30","1600","3"
"2009-12-31","1600","1"
"2010-01-15","1600","138"
"2010-01-25","1600","4593"
"2010-01-26","1700","619"
"2010-01-27","1700","2"
"2010-01-29","1600","1750"
"2010-02-04","1700","2"
"2010-02-09","1700","2"
"2010-02-10","1700","60"
"2010-02-25","1650","200000"
"2010-03-04","1650","100"
"2010-03-05","1750","150"
"2010-03-10","1950","17"
"2010-03-15","1950","44"
"2010-03-17","1950","2404"
"2010-03-18","1950","8707"
"2010-03-23","1950","3064"
"2010-03-26","2200","410"
"2010-04-12","2200","295"
"2010-04-27","2500","130"
"2010-04-28","2530","200"
