"date","value","volume"
"2022-12-09","1305","1219005"
"2022-12-12","1163","733133"
"2022-12-13","1160","630639"
"2022-12-14","1180","184979"
"2022-12-15","1220","125206"
"2022-12-16","1244","76367"
"2022-12-19","1248","166210"
"2022-12-20","1223","71804"
"2022-12-21","1183","87970"
"2022-12-22","1216","52223"
"2022-12-23","1191","70058"
"2022-12-26","1191","191419"
"2022-12-27","1234","458334"
"2022-12-28","1240","264732"
"2022-12-30","1274","225935"
"2023-01-02","1244","65340"
"2023-01-03","1237","39792"
"2023-01-04","1218","10204"
"2023-01-05","1220","27183"
"2023-01-06","1214","23768"
"2023-01-09","1193","22747"
"2023-01-10","1190","47476"
"2023-01-11","1204","62217"
"2023-01-12","1182","18150"
"2023-01-13","1177","21688"
"2023-01-16","1174","22671"
"2023-01-17","1170","31760"
"2023-01-18","1166","9911"
"2023-01-19","1156","50094"
"2023-01-20","1126","19920"
"2023-01-23","1164","66797"
"2023-01-24","1216","72305"
"2023-01-25","1240","160384"
"2023-01-26","1261","176927"
"2023-01-27","1275","201091"
"2023-01-30","1262","261113"
"2023-01-31","1273","105713"
"2023-02-01","1288","586757"
"2023-02-02","1288","252401"
"2023-02-03","1282","134153"
"2023-02-06","1172","50062"
"2023-02-07","1179","6334"
"2023-02-08","1184","19217"
"2023-02-09","1141","14260"
"2023-02-10","1156","8065"
"2023-02-13","1145","15593"
"2023-02-14","1135","16068"
"2023-02-15","1146","19939"
"2023-02-16","1135","26270"
"2023-02-17","1145","10040"
"2023-02-20","1153","15727"
"2023-02-24","1152","11087"
"2023-02-27","1145","22200"
"2023-02-28","1151","9613"
"2023-03-01","1145","7272"
"2023-03-02","1141","12298"
"2023-03-03","1131","12863"
"2023-03-06","1127","9731"
"2023-03-07","1126","31794"
"2023-03-09","1137","27052"
"2023-03-10","1119","14554"
"2023-03-13","1111","18195"
"2023-03-14","1110","18139"
"2023-03-15","1100","19955"
"2023-03-16","1109","23781"
"2023-03-17","1108","26682"
"2023-03-20","1100","19424"
"2023-03-21","1087","62997"
"2023-03-22","1089","42809"
"2023-03-23","1089","23839"
"2023-03-24","1088","42175"
"2023-03-27","1094","57116"
"2023-03-28","1063","38841"
"2023-03-29","1081","11204"
"2023-03-30","1077","111186"
"2023-03-31","1021","11298"
"2023-04-03","1005","14870"
"2023-04-04","1005","24889"
"2023-04-05","985.58","67906"
"2023-04-06","924.89","27173"
"2023-04-07","979.64","48485"
"2023-04-10","1012","63359"
"2023-04-11","1008","56283"
"2023-04-12","995.14","46670"
"2023-04-13","965.72","10144"
"2023-04-14","968.01","8848"
"2023-04-17","981.43","17840"
"2023-04-18","984.22","16870"
"2023-04-19","999.58","40331"
"2023-04-20","1065","54078"
"2023-04-21","1082","11869"
"2023-04-24","1094","59998"
"2023-04-25","1139","294440"
"2023-04-26","1111","83339"
"2023-04-27","1034","6320"
"2023-04-28","1055","2228"
"2023-05-01","1056","12814"
"2023-05-02","1049","15273"
"2023-05-03","1052","32949"
"2023-05-04","1040","19303"
"2023-05-05","1019","16351"
"2023-05-08","1021","11268"
"2023-05-09","1023","7181"
"2023-05-10","1025","5317"
"2023-05-11","1037","22454"
"2023-05-12","1042","2334"
"2023-05-15","1005","17654"
"2023-05-16","1005","7084"
"2023-05-17","1013","4297"
"2023-05-18","1009","4516"
"2023-05-19","1004","28333"
"2023-05-22","995","15110"
"2023-05-23","986.11","29676"
"2023-05-24","982.22","8734"
